class,name,runs,misses
makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper,makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper@5a70ef46,0,0
makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper,makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper@1f72ca5d,0,0
makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper,makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper@6b60b2c3,0,0
makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper,makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper@6788c961,0,0
